"rownum","item_code","item","level","advise"
"1","M2","Reviso mis niveles de motivación: Evalúo mis niveles de motivación respecto a un curso o una tarea académica, genero alertas y tomo acciones de ser necesarias.","C0","De acuerdo con este resultado, al parecer no tienes ideas previas respecto a cómo evaluar tus niveles de motivación respecto a un curso o tarea académica. Frente a esto, te recomendamos lo siguiente: 
      1. Sería valioso que tengas conciencia respecto a dos aspectos: uno es que la motivación es emoción en movimiento. Así, cuanto más motivado estés, mejor disposición tendrás para las tareas que debes abordar.  El segundo es que la motivación es interna (propia de tu mundo interior) y externa (la que viene de las situaciones en las que estás involucrado. Esto te podría permitir valorar cómo se manifiestan tus motivaciones y cuáles son sus fuentes. 
       2. La respuesta emocional que los seres humanos tenemos ante las actividades y situaciones que vivimos es muy importante en el proceso de toma de decisiones. Puedes tomarte unos minutos cada cierto tiempo para que puedas escuchar tus respuestas emocionales y que puedas tener información de tu mundo interior para que puedas tomar mejores decisiones respecto a las actividades en las que estés involucrado. "
"2","M3","Comunico mi evaluación de motivaciones: Comparto con mis profesores la evolución de mis motivaciones respecto a la(s) asignatura(s).","C0","De acuerdo con este resultado, al parecer no tienes ideas previas respecto a cómo evaluar tus niveles de motivación respecto a un curso o tarea académica. Frente a esto, te recomendamos lo siguiente: 
      1. Sería valioso que tengas conciencia respecto a dos aspectos: uno es que la motivación es emoción en movimiento. Así, cuanto más motivado estés, mejor disposición tendrás para las tareas que debes abordar.  El segundo es que la motivación es interna (propia de tu mundo interior) y externa (la que viene de las situaciones en las que estás involucrado. Esto te podría permitir valorar cómo se manifiestan tus motivaciones y cuáles son sus fuentes. 
       2. La respuesta emocional que los seres humanos tenemos ante las actividades y situaciones que vivimos es muy importante en el proceso de toma de decisiones. Puedes tomarte unos minutos cada cierto tiempo para que puedas escuchar tus respuestas emocionales y que puedas tener información de tu mundo interior para que puedas tomar mejores decisiones respecto a las actividades en las que estés involucrado. 
      3. Por otro lado, compartir la evolución de los niveles de motivación es de suma importancia en la autorregulación de tu aprendizaje. Este compartir podría ocurrir con tus profesores o tus compañeros. Te invitamos a que, una  vez evalúes tus niveles de motivación y revises su evolución, los compartas con los demás."
"3","A1","Programo de manera eficiente las sesiones de trabajo individual: Administro todos los recursos necesarios para mis sesiones de trabajo individual concentrado (horarios de trabajo y horarios de descanso, valoración para la distribución de distintos tiempos para distintas tareas, materiales, etc.)","C0","Este resultado indica que tal vez no  has escuchado o pensado que tener todos los recursos a mano para tus sesiones de trabajo individual puede ayudarte a concentrarte mejor y a hacer más en menos tiempo. 
Te sugerimos:
   1. Iniciar la práctica constante de establecer sesiones de trabajo individual concretas. Puede ser útil que establezcas sesiones entre 45 minutos y 1 hora, con descansos de 10 a 15 minutos. Asegúrate de contar con todos los recursos materiales necesarios al inicio de la sesión. 
    2. Revisa cuáles son las condiciones adecuadas para ti para desarrollar estas sesiones de trabajo; nos referimos a si necesitas espacios silenciosos o si el ruido no te molesta; también nos referimos a que te asegures de que evites distracciones o conversaciones durante estas sesiones  individuales de trabajo. 
    3. Evalúa todos los días y cada cierto tiempo (puede ser cada 10 días) cómo te sientes durante estas sesiones y qué podrías mejorar. "
"4","A3","Reacciono ante las distracciones: Tomo acciones de mejora para retomar mi centro de atención en el trabajo individual, cuando identifico posibles distracciones.","C0","Este resultado indica que tal vez no le has dado la importancia que amerita a los distractores. Te proponemos tres estrategias:
1. Establece un periodo de trabajo que puede ir de 15 a 25 minutos y anota las distracciones que emergen, así como sus razones.
2. Revisa las anotaciones que acabaste de escribir y verifica las condiciones de trabajo para identificar cómo puedes disminuir la frecuencia de ocurrencia.
3. Comparte con tus compañeros  los aprendizajes que emergen de las estrategias anteriores; te darás cuenta de que no estás solo y que existen otras maneras de abordar las distracciones. "
"5","A5","Creo planes de acción: Establezco planes de acción a corto y mediano plazo, que son pertinentes para cumplir con la mayoría de mis responsabilidades.","C0","Este resultado indica que tal vez no has aprendido a establecer planes de acción o que no ves el aporte de esta estrategia  a tus formas de trabajo. Te proponemos estas estrategias: 
    1. Escoge una semana en la que quieras implementar esta estrategia. Antes del inicio de la semana (puedes ser sábado o domingo) revisa tus compromisos de esa semana y escoge 2 a los que harás seguimiento. Por ejemplo, si tienes un parcial el jueves siguiente y una clase que debes preparar el viernes siguiente, organiza bloques de trabajo de lunes a viernes para preparar estas dos entregas. Para asignar el tiempo de trabajo durante la semana, ten en cuenta estos criterios: 
    a). Revisa qué tarea te puede implicar más esfuerzo, bien sea porque los contenidos son complejos de abordar o porque necesitas hacer más tareas pequeñas para culminar esta entrega. 
    b). Una vez tengas esto, haz una lista de las pequeñas tareas que te va a significar cada entrega. Por ejemplo, para preparar el parcial, necesitarás: revisar apuntes de clase;, reunir lecturas y revisar notas de esas lecturas;  preguntar al profesor qué estará evaluado en el parcial y cómo se evaluará. 
    c). Una vez tengas esta información sobre las dos entregas, asigna bloques de trabajos de máximo 2 horas a realizar las listas de tareas de cada entrega. Considera en esta asignación, todas las demás actividades que tengas (clases, reuniones, conferencias, etc.) Ten presente que estás empezando a adquirir un hábito que no tenías antes; así, ten paciencia y trátate con calma si no trabajas tan rápidamente como habías esperado. Al comienzo puede ser un poco lento; pero si persistes, vas a notar que cada vez trabajas mejor y desarrollas con más fluidez tus planes de acción. 
    d). Después de cada bloque o sesión de trabajo, dedica unos 10 minutos a escribir qué sensaciones tienes después de terminar. De esta forma, podrás identificar en qué tareas trabajas más rápidamente, en cuáles trabajas más lentamente, cuáles son las razones de ese rendimiento, y qué opciones de mejora puedes establecer con base en esa información. También puedes evaluar cada semana cuál ha sido tu desempeño en la implementación de estos planes de acción. "
"6","A12","Consulto a mi cuerpo para tomar decisiones: Estudio cuando me encuentro en condiciones físicas óptimas (tengo buen estado de salud general, estoy fresco, me siento bien, etc.) y además tengo prácticas saludables de sueño y nutrición.","C0","Es probable que por atender todas tus responsabilidades y querer responder a ellas, hayas descuidado el principal medio de comunicación e interacción con el mundo: tu cuerpo. No escuchar ni consultar al cuerpo podría traerte problemas de salud y, específicamente, en tu desempeño académico. Ante esto, te proponemos las siguientes sugerencias:
1. Organiza de una mejor manera tu horario. Incluye no solo actividades académicas sino también personales, familiares, de ocio.
2. Cuida la higiene del sueño, es decir, duerme por lo menos 7 horas al día.
3. Realiza pausas activas cuando estés realizando actividades académicas.
4. Aliméntate bien. Intenta que los alimentos que consumes sean balanceados. No olvides incluir en tu dieta  las verduras y las frutas. ¡Hidrátate muy bien!
5. Revisa las condiciones y estado de tu cuerpo cuando vayas a tomar una nueva tarea. Analiza si requieres algo para poderla desarrollar."
"7","A13","Programo de manera eficiente las sesiones de trabajo grupal: Administro todos los recursos necesarios para mis sesiones de trabajo grupal (horarios de trabajo y horarios de descanso, valoración para la distribución de distintos tiempos para distintas tareas, materiales, resultados, apoyo de otros, etc.).","C0","Este resultado indica que tal vez no  has escuchado o pensado que tener todos los recursos a mano para tus sesiones de trabajo grupal puede ayudarte a concentrarte mejor y a hacer más en menos tiempo. 
Te sugerimos:
   1. Inicia la práctica constante de establecer sesiones de trabajo grupal concretas. Puede ser útil que establezcas sesiones de entre 45 minutos y 1 hora, con descansos de 10 a 15 minutos. Asegúrate de contar con todos los recursos materiales necesarios al inicio de la sesión. 
    2. Revisa cuáles son las condiciones adecuadas para ti y las demás personas de tu grupo para desarrollar estas sesiones de trabajo; nos referimos a si necesitan espacios silenciosos o si el ruido no les molesta; también nos referimos a que te asegures de que evites distracciones o conversaciones durante estas sesiones grupales de trabajo. 
    3. Evalúen todos los días y cada cierto tiempo (puede ser cada 10 días) cómo te sienten durante estas sesiones y qué podrían mejorar."
"8","C1","Soy un estudiante efectivo:  Me considero un estudiante efectivo, teniendo en cuenta que implemento estrategias cognitivas y sociales útiles y pertinentes para mis procesos de repaso, toma de apuntes y  argumentación en mis clases, en el marco de mis propios objetivos de aprendizaje. ","C0","Este resultado indica que no conoces ninguna estrategia cognitiva o social para tus procesos de aprendizaje.

En este link
(https://www.psicopedagogia.com/estrategias-cognitivas; 
http://elearningmasters.galileo.edu/2017/11/07/que-es-y-como-funciona-el-aprendizaje-social-2/)  , te ofrecemos varias estrategias cognitivas y sociales que podrías implementar. Escoge, por ejemplo, 2 estrategias sociales y 2 cognitivas; impleméntalas durante 10 días y posteriormente valora tu proceso. 

      a. ¿Viste alguna mejora en tus resultados? 
      b. ¿Te sentiste cómodo con las estrategias?
      c. ¿Qué criterios tuviste en cuenta para valorar tus resultados y tu proceso?  "
"9","C2","Reflexiono sobre mi aprendizaje: Hago procesos de reflexión y evaluación de mis estrategias de aprendizaje (recopilando la mayor cantidad de información disponible), para establecer su nivel de efectividad; de esta forma, puedo identificar qué estrategias sigo implementando, cuáles estrategias deben ser cambiadas e identifico cuáles estrategias necesito aprender","C0","Este resultado indica que no llevas a cabo procesos de reflexión y evaluación de tus estrategias de aprendizaje. Puede ser que no estés acostumbrado(a) o no tengas la información que requieres para hacerlo.  

Te proponemos 2 estrategias para hacer estos procesos de reflexión y evaluación.  

1. Escribe un párrafo breve sobre qué aprendizajes has tenido en las últimas 2 semanas. Sería importante que incluyas en tu texto algunos comentarios sobre cómo fue tu proceso para adquirir esos aprendizajes y, a partir de tus avances, qué otras habilidades o conocimientos quieres alcanzar. Involucra cómo te has sentido, qué evidencias tienes para sustentar esas percepciones sobre tu proceso de aprendizaje.  

2. Conversa con un compañero de clase sobre qué aprendizajes ha adquirido durante las últimas semanas; luego, podrías compartir con él algunas ideas. También podrían conversar sobre cómo ven la clase a la que ambos asisten o cómo cada uno de ustedes abordó las tareas para esa clase.  "
"10","C3","Soy consciente de cuándo un aprendizaje es fácil o difícil: Tengo criterios claros para establecer si un proceso de aprendizaje me resulta fácil o implica un nivel alto de complejidad, con lo que tomo una decisión sobre uso de estrategias cognitivas y sociales de aprendizaje","C0","Este resultado indica que no tienes claro cuando tu aprendizaje resulta ser fácil o difícil. La manera como lo ponderas los distintos aprenzajes es constante, sin embargo, debes darte la oportunidad a reconocer que hay un degradé que te permite, desde tu propia comprensión, calificar un aprendizaje desde difícil hasta fácil. Este reconocimiento necesario está íntimamente relacionado con un autoconocimiento. Te invitamos, entonces, a que leyendo tus capacidades, elementos contextuales, insumos, necesidad y oportunidades, reconozcas el gado de dificultad en los distintos contenidos y competencias que quieres aprender."
"11","M2","Reviso mis niveles de motivación: Evalúo mis niveles de motivación respecto a un curso o una tarea académica, genero alertas y tomo acciones de ser necesarias.","C1","Según este resultado, al parecer evalúas tus motivaciones respecto a un curso, pero no generas alertas ni acciones vinculadas con tus motivaciones. Al respecto te sugerimos lo siguiente:
       1. Dedica cierto tiempo (10 a 15 minutos por semana) para identificar tus emociones respecto a las actividades en las que estés involucrado, sin juzgarlas. Es decir, no se trata de que valores si tus motivaciones son positivas o negativas; te proponemos, en cambio, que puedas identificar con transparencia hacia ti misma(o) qué sientes respecto a las clases y otras actividades de tu vida universitaria. 
       2. Una vez que has identificado tus motivaciones, relaciónalas con los objetivos que quieres alcanzar. Es decir, verifica si hay motivaciones que te hacen más amable la consecución de tus objetivos, o si hay motivaciones que te hacen más pesada o dificultosa la consecución de estos. 
       3. Una vez que tienes identificados estos elementos, ¿qué necesitarías para mantener las motivaciones que te hacen la consecución de tus objetivos más amable? ¿Qué podrías o necesitarías hacer para que las motivaciones que te hacen más pesada la consecución de tus objetivos puedan ser más llevaderas o cómodas para ti? 
       4. Una vez respondas estas dos preguntas, piensa en dos acciones concretas que puedas realizar a corto plazo y dos que puedas realizar a mediano plazo. "
"12","M3","Comunico mi evaluación de motivaciones: Comparto con mis profesores la evolución de mis motivaciones respecto a la(s) asignatura(s).","C1","De acuerdo con este resultado, parece ser que no has compartido con tus profesores la evolución de tus niveles de motivación. Esta interacción con los profesores es de vital importancia y te invitamos a que la tengas en cuenta. 
Resultaría, entonces, conveniente que exploraras cuáles fueron las razones por las que no decidiste compartir esta evolución. Puede ser que no sientas confianza con tu profesor o profesora, o porque sencillamente no tienes el insumo para poder pensar en la evolución de la motivación. Sea cual sea la razón te invitamos a evaluar tus niveles de motivación, pensar en su evolución y compartirla con quienes te rodean y están, de alguna manera, involucrados en tus procesos de enseñanza y aprendizaje."
"13","A1","Programo de manera eficiente las sesiones de trabajo individual: Administro todos los recursos necesarios para mis sesiones de trabajo individual concentrado (horarios de trabajo y horarios de descanso, valoración para la distribución de distintos tiempos para distintas tareas, materiales, etc.)","C1","Este resultado parece indicar que tienes algunas ideas respecto a la planeación de tus sesiones de trabajo individual, pero no logras concretarlas. Al respecto, te sugerimos lo siguiente: 

   1. Considera la importancia de que tengas sesiones de trabajo individual específicas y concretas. Con específicas nos referimos a que tengas un horario, semanal o mensual, en el que fijes esas sesiones de trabajo. Busca que esas sesiones no interfieran con otros compromisos. También es importante que, una vez fijes esas sesiones, te dediques exclusivamente al trabajo que has establecido para ellas. En este sentido, es muy importante que puedas manejar las distracciones y combines tiempos de descanso y tiempos de trabajo. 
    2. También es importante ir adquiriendo el hábito de tener estas sesiones de trabajo individual; estas sesiones te ayudan a planear y ejecutar tareas que te permitirán cumplir con tus compromisos académicos. Además, te darán la tranquilidad de tener tiempos libres sin preocupaciones respecto a los compromisos que podrías haber olvidado. 
   3. Es muy pertinente que puedas tener conciencia de que estas sesiones de trabajo individual son un elemento importante para concretar tus objetivos académicos o de cualquier otro tipo. En este sentido, es muy valioso que puedas trabajar sin supervisión debido a que tendrás que abordar tareas o proyectos individuales y te resultará muy útil saber cómo trabajar individualmente. "
"14","A3","Reacciono ante las distracciones: Tomo acciones de mejora para retomar mi centro de atención en el trabajo individual, cuando identifico posibles distracciones.","C1","Es posible que identifiques que, en efecto, te distraes, pero no estás tomando ninguna acción al respecto. Frente a esto, te proponemos:
1. Revisa de nuevo los distractores emergentes y trata de agruparlos, en caso de encontrar similitudes. Estas nuevas agrupaciones podrán brindarte información adicional sobre la razón por la que los distractores aparecen.
2. Teniendo en cuenta las asociaciones y descripciones del punto anterior, genera estrategias que te permitan encarar los distractores. Pregúntate, por ejemplo, ¿en qué contexto están apareciendo los distractores?, ¿cómo volver el distractor una oportunidad de mejora?
"
"15","A5","Creo planes de acción: Establezco planes de acción a corto y mediano plazo, que son pertinentes para cumplir con la mayoría de mis responsabilidades.","C1","Este resultado parece indicar que comprendes que establecer planes de acción podría ser útil para abordar tus compromisos académicos, pero no has logrado crear un plan de acción que sea efectivo. Al respecto, te sugerimos:
    1. Establece un objetivo que quieras concretar, por ejemplo, aprobar determinada asignatura. Después, escribe por lo menos 3 razones por las que ese objetivo es importante para ti. De esta forma, podrás identificar qué motivación tienes respecto al objetivo y tendrás conciencia de la forma en la que estás emocionalmente vinculado con aquello que deseas concretar. 
    2. Una vez tengas este objetivo, piensa en por lo menos 3 acciones concretas que tendrías que realizar para conseguir ese objetivo. Por ejemplo, si tu objetivo es aprobar una asignatura, 3 acciones concretas serían: asistir puntualmente a las clases; preparar las lecturas previas a cada clase; y tomar apuntes concretos y útiles para el repaso posterior. 
    3. Convierte estas acciones en una secuencia de bloques de trabajo que puedas seguir a lo largo de 5 días. Al final de este periodo, revisa cómo te sentiste con este plan de acción; también sería importante que recuerdes algún otro momento en el que hiciste un plan de acción y no lo seguiste. Compara esa experiencia anterior con esta e identifica qué mejoras tuviste en la ejecución en esta ocasión. De esta forma, podrás notar que puedes ir construyendo aprendizajes sobre tu propia experiencia. "
"16","A12","Consulto a mi cuerpo para tomar decisiones: Estudio cuando me encuentro en condiciones físicas óptimas (tengo buen estado de salud general, estoy fresco, me siento bien, etc.) y además tengo prácticas saludables de sueño y nutrición.","C1","Parece ser que consideras que consultar al cuerpo no es importante. Ante esto, ten en cuenta que tu cuerpo es el medio que te permite interactuar con el mundo y, por tal razón, es muy importante que ese medio se esté desempeñando de la manera más óptima. 
Centrándonos en tu proceso de aprendizaje, consultar al cuerpo es de vital importancia, pues tus niveles de concentración, creación y ejecución serán óptimos si el cuerpo está satisfecho, descansado y bien alimentado. Te recomendamos que reconsideres el cuidado del cuerpo.Recuerda el dicho popular: ""mente sana en cuerpo sano""."
