"rownum","item_code","item","level","advise"
"30","C3","Soy consciente de cuándo un aprendizaje es fácil o difícil: Tengo criterios claros para establecer si un proceso de aprendizaje me resulta fácil o implica un nivel alto de complejidad, con lo que tomo una decisión sobre uso de estrategias cognitivas y sociales de aprendizaje","C2","De acuerdo con este resultado, al parecer conoces y tienes claros los criterios que podrían servirte para establecer qué aprendizajes te resultarán más fáciles o más difíciles, al iniciar una tarea o proyecto académico; sin embargo, no tomas decisiones concretas. Respecto a esto, te proponemos lo siguiente: 
      1. Sería valioso que consideres que, para que vayas teniendo cada vez más y mas confianza en tus actividades, es importante que establezcas una conexión entre lo que crees y lo que haces, entre tus concepciones y tus acciones. Cuanta más coherencia logres entre lo que piensas y lo que haces, serán más efectivas tus estrategias y ganarás más confianza. Por esta razón, es tan importante que esa coherencia sea cada vez mayor. 
      2. Ahora que ya tienes clara la importancia de la coherencia entre estos aspectos, te proponemos:
        a). Revisa en tus cursos  e identifica un aprendizaje que consideras fácil y uno que consideres difícil. 
        b). Con ambos aprendizajes, piensa en 3 implicaciones para cada uno; es decir, considera qué te implican los aprendizajes fáciles (por ejemplo, menos esfuerzo, más tiempo para dedicar a otras actividades, más disfrute, etc.) y qué te implican los aprendizajes difíciles (por ejemplo, pedir apoyo a un monitor, buscar otros materiales de consulta, buscar otras estrategias de estudio que te hagan amable el proceso, etc.) 
       c). Con los aprendizajes difíciles, toma las implicaciones como acciones que realizarás la próxima semana. Luego, escribe un breve texto en el que reflexiones sobre cómo te sentiste, qué fue efectivo y qué podrías mejorar respecto a los aprendizajes difíciles."
"31","M2","Reviso mis niveles de motivación: Evalúo mis niveles de motivación respecto a un curso o una tarea académica, genero alertas y tomo acciones de ser necesarias.","C3","¡Plop! ¿Qué puede estar ocurriendo para que no 
estés de acuerdo ni en desacuerdo con esta 
afirmación? ¿Estás de acuerdo con algunos 
aspectos que se presentan, pero no con todos? 
¿Con cuáles estás de acuerdo y con cuáles no? 
Te sugerimos responder estas preguntas. Luego, 
haz nuevamente esta valoración."
"32","M3","Comunico mi evaluación de motivaciones: Comparto con mis profesores la evolución de mis motivaciones respecto a la(s) asignatura(s).","C3","¡Plop! ¿Qué puede estar ocurriendo para que no 
estés de acuerdo ni en desacuerdo con esta 
afirmación? ¿Estás de acuerdo con algunos 
aspectos que se presentan, pero no con todos? 
¿Con cuáles estás de acuerdo y con cuáles no? 
Te sugerimos responder estas preguntas. Luego, 
haz nuevamente esta valoración."
"33","A1","Programo de manera eficiente las sesiones de trabajo individual: Administro todos los recursos necesarios para mis sesiones de trabajo individual concentrado (horarios de trabajo y horarios de descanso, valoración para la distribución de distintos tiempos para distintas tareas, materiales, etc.)","C3","¡Plop! ¿Qué puede estar ocurriendo para que no 
estés de acuerdo ni en desacuerdo con esta 
afirmación? ¿Estás de acuerdo con algunos 
aspectos que se presentan, pero no con todos? 
¿Con cuáles estás de acuerdo y con cuáles no? 
Te sugerimos responder estas preguntas. Luego, 
haz nuevamente esta valoración."
"34","A3","Reacciono ante las distracciones: Tomo acciones de mejora para retomar mi centro de atención en el trabajo individual, cuando identifico posibles distracciones.","C3","¡Plop! ¿Qué puede estar ocurriendo para que no 
estés de acuerdo ni en desacuerdo con esta 
afirmación? ¿Estás de acuerdo con algunos 
aspectos que se presentan, pero no con todos? 
¿Con cuáles estás de acuerdo y con cuáles no? 
Te sugerimos responder estas preguntas. Luego, 
haz nuevamente esta valoración."
"35","A5","Creo planes de acción: Establezco planes de acción a corto y mediano plazo, que son pertinentes para cumplir con la mayoría de mis responsabilidades.","C3","¡Plop! ¿Qué puede estar ocurriendo para que no 
estés de acuerdo ni en desacuerdo con esta 
afirmación? ¿Estás de acuerdo con algunos 
aspectos que se presentan, pero no con todos? 
¿Con cuáles estás de acuerdo y con cuáles no? 
Te sugerimos responder estas preguntas. Luego, 
haz nuevamente esta valoración."
"36","A12","Consulto a mi cuerpo para tomar decisiones: Estudio cuando me encuentro en condiciones físicas óptimas (tengo buen estado de salud general, estoy fresco, me siento bien, etc.) y además tengo prácticas saludables de sueño y nutrición.","C3","¡Plop! ¿Qué puede estar ocurriendo para que no 
estés de acuerdo ni en desacuerdo con esta 
afirmación? ¿Estás de acuerdo con algunos 
aspectos que se presentan, pero no con todos? 
¿Con cuáles estás de acuerdo y con cuáles no? 
Te sugerimos responder estas preguntas. Luego, 
haz nuevamente esta valoración."
"37","A13","Programo de manera eficiente las sesiones de trabajo grupal: Administro todos los recursos necesarios para mis sesiones de trabajo grupal (horarios de trabajo y horarios de descanso, valoración para la distribución de distintos tiempos para distintas tareas, materiales, resultados, apoyo de otros, etc.).","C3","¡Plop! ¿Qué puede estar ocurriendo para que no 
estés de acuerdo ni en desacuerdo con esta 
afirmación? ¿Estás de acuerdo con algunos 
aspectos que se presentan, pero no con todos? 
¿Con cuáles estás de acuerdo y con cuáles no? 
Te sugerimos responder estas preguntas. Luego, 
haz nuevamente esta valoración."
"38","C1","Soy un estudiante efectivo:  Me considero un estudiante efectivo, teniendo en cuenta que implemento estrategias cognitivas y sociales útiles y pertinentes para mis procesos de repaso, toma de apuntes y  argumentación en mis clases, en el marco de mis propios objetivos de aprendizaje. ","C3","¡Plop! ¿Qué puede estar ocurriendo para que no 
estés de acuerdo ni en desacuerdo con esta 
afirmación? ¿Estás de acuerdo con algunos 
aspectos que se presentan, pero no con todos? 
¿Con cuáles estás de acuerdo y con cuáles no? 
Te sugerimos responder estas preguntas. Luego, 
haz nuevamente esta valoración."
"39","C2","Reflexiono sobre mi aprendizaje: Hago procesos de reflexión y evaluación de mis estrategias de aprendizaje (recopilando la mayor cantidad de información disponible), para establecer su nivel de efectividad; de esta forma, puedo identificar qué estrategias sigo implementando, cuáles estrategias deben ser cambiadas e identifico cuáles estrategias necesito aprender","C3","¡Plop! ¿Qué puede estar ocurriendo para que no 
estés de acuerdo ni en desacuerdo con esta 
afirmación? ¿Estás de acuerdo con algunos 
aspectos que se presentan, pero no con todos? 
¿Con cuáles estás de acuerdo y con cuáles no? 
Te sugerimos responder estas preguntas. Luego, 
haz nuevamente esta valoración."
"40","C3","Soy consciente de cuándo un aprendizaje es fácil o difícil: Tengo criterios claros para establecer si un proceso de aprendizaje me resulta fácil o implica un nivel alto de complejidad, con lo que tomo una decisión sobre uso de estrategias cognitivas y sociales de aprendizaje","C3","¡Plop! ¿Qué puede estar ocurriendo para que no 
estés de acuerdo ni en desacuerdo con esta 
afirmación? ¿Estás de acuerdo con algunos 
aspectos que se presentan, pero no con todos? 
¿Con cuáles estás de acuerdo y con cuáles no? 
Te sugerimos responder estas preguntas. Luego, 
haz nuevamente esta valoración."
"41","M2","Reviso mis niveles de motivación: Evalúo mis niveles de motivación respecto a un curso o una tarea académica, genero alertas y tomo acciones de ser necesarias.","C4","¡Qué bien! Has podido evaluar tus niveles de motivación vinculados a tu proceso de aprendizaje. Así, has reconocido contextos diferentes que afectan estos niveles de motivación. Este reconocimiento te ha permitido tomar acciones al respecto. Sin embargo, parece ser que las acciones por las que te has decidido no han sido adecuadas para elevar los niveles de motivación. Frente a esto te proponemos que antes de tomar una acción, analices (en un ejercicio de anticipación) si ellas tendrían o no efectos sobre tu motivación. Si concluyes que no o que el grado de influencia es muy bajo, te recomendamos que pienses en otro tipo de estrategia o acción."
"42","M3","Comunico mi evaluación de motivaciones: Comparto con mis profesores la evolución de mis motivaciones respecto a la(s) asignatura(s).","C4","Luego de evaluar tus niveles de motivación, has logrado identificar cuándo aumentan, se mantienen constantes o disminuyen. Esto es un aprendizaje muy valioso pues será un insumo necesario para que tomes acciones que mejoren tus procesos de aprendizaje. Sin embargo, parece ser que cuando compartes esta evolución con tus profesores (o compañeros), no les has dado la oportunidad de darte retroalimentación sobre ella. Incorporar estas otras voces es una decisión muy significativa pues incorporarás aprendizajes de otras buenas practicas en el ejercicio de entender cuándo se motiva o no. Te invitamos, entonces, a que recibas la opinión de los demás; esto traerá mucho más valor a esta aventura de aprender."
"43","A1","Programo de manera eficiente las sesiones de trabajo individual: Administro todos los recursos necesarios para mis sesiones de trabajo individual concentrado (horarios de trabajo y horarios de descanso, valoración para la distribución de distintos tiempos para distintas tareas, materiales, etc.)","C4","Al parecer, aún sientes que no logras 
administrar apropiadamente todos los
 recursos indispensables para tus sesiones 
de trabajo individual concentrado. 
Te proponemos las siguientes preguntas:
      1. ¿Has establecido horarios viables de trabajo y de descanso?
       2. ¿Has seguido estos horarios de manera constante?
       3. ¿Estás acostumbrado a reunir todos los recursos necesarios para el desarrollo de tareas?
     4. ¿Estás acostumbrado a hacer un cálculo aproximado del tiempo que te puede tomar cada tarea o actividad propia de la universidad? 
Después de responder a estas preguntas, podrías nuevamente hacer la  valoración de este ítem para considerar otros cursos de acción. "
"44","A3","Reacciono ante las distracciones: Tomo acciones de mejora para retomar mi centro de atención en el trabajo individual, cuando identifico posibles distracciones.","C4","Al parecer, has identificado distractores que te desconcentran en el desarrollo de tus tareas. Es posible que, aunque identificando estos factores, tus respuestas no conlleven a acciones de mejora.  Te planteamos una preguntas que te ayudarán a comprender mejor este ítem: 
1. Cuando detectas un distractor, ¿qué haces?
2. Cuando te distraes, ¿permaneces en ese estado o encuentras maneras de concentrarte rápidamente?
3. ¿Identificas tus distintas distracciones?
- ¿Qué estrategias tienes para abordar cada una?
- ¿Qué criterios aplicas para saber si tus estrategias son efectivas?"
"45","A5","Creo planes de acción: Establezco planes de acción a corto y mediano plazo, que son pertinentes para cumplir con la mayoría de mis responsabilidades.","C4","Al parecer, has identificado que no te encuentras tan satisfecho con la forma en la que diseñas y llevas a cabo planes de acción. Te proponemos las siguientes preguntas para que puedas identificar otros aspectos claves del proceso: 
    1. ¿Con qué criterios determinas que un plan de acción no está funcionando? 
     2. Cuando no puedes realizar una tarea o cuando no resulta pertinente, ¿cambias todo el plan o solo esa tarea? 
    3. ¿Bajo qué criterios estableces el tiempo  destinado a cada tarea? 
    4. En la evaluación de los planes de acción que has creado, ¿tienes en cuenta qué avances obtuviste? ¿logras identificar oportunidades de aprendizaje y de mejora? 
    5. ¿Has conversado con otros respecto a cómo es su proceso en la creación y ejecución de sus planes de trabajo?  "
"46","A12","Consulto a mi cuerpo para tomar decisiones: Estudio cuando me encuentro en condiciones físicas óptimas (tengo buen estado de salud general, estoy fresco, me siento bien, etc.) y además tengo prácticas saludables de sueño y nutrición.","C4","Has reconocido la importancia del cuerpo en los procesos de aprendizaje. ¡Este es un hallazgo fundamental! No lo pierdas de vista. Para reforzar acciones de escucha al cuerpo, te recomendamos:
1. Haz un listado de las acciones que, en efecto, han tenido en cuenta las necesidades de tu cuerpo.
2. Una vez tengas este listado, identifica cuáles de ellas requieren más atención y actúa al respecto.
3.  Involucra las acciones en las que has notado mejora en el aprendizaje como elemento recurrente en tu toma de decisiones. 
"
"47","A13","Programo de manera eficiente las sesiones de trabajo grupal: Administro todos los recursos necesarios para mis sesiones de trabajo grupal (horarios de trabajo y horarios de descanso, valoración para la distribución de distintos tiempos para distintas tareas, materiales, resultados, apoyo de otros, etc.).","C4","Al parecer, aún sientes que no logras 
administrar apropiadamente todos los
 recursos indispensables para tus sesiones 
de trabajo grupal concentrado. 
Te proponemos las siguientes preguntas:
      1. ¿Has establecido horarios viables de trabajo y de descanso?
       2. ¿Has seguido estos horarios de manera constante?
       3. ¿Estás acostumbrado a reunir todos los recursos necesarios para el desarrollo de tareas?
     4. ¿Estás acostumbrado a hacer un cálculo aproximado del tiempo que te puede tomar cada tarea o actividad propia de la universidad? 
Después de responder a estas preguntas, podrías nuevamente hacer la  valoración de este ítem para considerar otros cursos de acción. "
"48","C1","Soy un estudiante efectivo:  Me considero un estudiante efectivo, teniendo en cuenta que implemento estrategias cognitivas y sociales útiles y pertinentes para mis procesos de repaso, toma de apuntes y  argumentación en mis clases, en el marco de mis propios objetivos de aprendizaje. ","C4","Al parecer, sientes que aún te hace falta alcanzar 
un nivel más alto de efectividad en tus estrategias. 
Te sugerimos que hagas un listado (tan cercano a la realidad como te sea posible) en el que incluyas las estrategias cognitivas y sociales que implementas. Una vez tengas este listado, plantéate qué haría falta para que puedas sentir que tienes un alto nivel de efectividad. Incluye en esta reflexión aspectos como frecuencia, si estas estrategias son un hábito o no, y una imagen de cómo te ves cuando obtengas un alto nivel de efectividad en tus estrategias. "
"49","C2","Reflexiono sobre mi aprendizaje: Hago procesos de reflexión y evaluación de mis estrategias de aprendizaje (recopilando la mayor cantidad de información disponible), para establecer su nivel de efectividad; de esta forma, puedo identificar qué estrategias sigo implementando, cuáles estrategias deben ser cambiadas e identifico cuáles estrategias necesito aprender","C4","Al parecer, sientes que aún no llevas a cabo estos procesos de reflexión y evaluación de forma plenamente satisfactoria para ti.  

Quizás estas preguntas puedan darte algunos parámetros: 

 1. ¿Cuáles son las estrategias que utilizas? ¿Qué tienes en cuenta para establecer si son efectivas para ti o no? ¿Has recibido algún comentario de tus profesores o compañeros de clase?  

 2. Revisa tus apuntes y notas para clases, ¿te resultan útiles para estudiar de forma efectiva? ¿Hay algo que quisieras cambiar respecto a este proceso? 

 3. ¿Cómo te sientes en tus contactos con otros compañeros de clase y profesores? ¿Te sientes en un ambiente seguro y de confianza para compartir tus ideas y reflexiones? Responde estas preguntas y en 10 días haz nuevamente la valoración de este ítem.  "
"50","C3","Soy consciente de cuándo un aprendizaje es fácil o difícil: Tengo criterios claros para establecer si un proceso de aprendizaje me resulta fácil o implica un nivel alto de complejidad, con lo que tomo una decisión sobre uso de estrategias cognitivas y sociales de aprendizaje","C4","Tiene los criterios, toma decisiones sobre las estrategias, pero no está tan satisfecho con el resultado de aplicar esas estrategias
¡Qué bien! Tienes muy claro los criterios que te permiten identificar cuándo un aprendizaje es fácil o difícil. Esta habilidad es de gran importancia pues te permitirá relacionarte mejor con la construcción de conocimiento. Además, parece que también tienes muy claro qué estrategias son necesarias para tomar acciones, por ejemplo, cuando identificas que un aprendizaje es difícil. Esto te permite dotar a tu aprendizaje de oportunidades de mejora. 
Ahora bien, parece ser que no estás muy satisfecho con los resultados obtenidos cuando aplicas estas estrategias. Frente a esto te proponemos responder a las siguientes preguntas:
1. ¿Has tomado acciones frente a la insatisfacción en el uso de estrategias?
2. Una vez identificas cuando es necesario tomar una decisión, ¿tienes en cuenta lo que ha pasado en el pasado cuando tomas decisiones equivalentes?"
"51","M2","Reviso mis niveles de motivación: Evalúo mis niveles de motivación respecto a un curso o una tarea académica, genero alertas y tomo acciones de ser necesarias.","C5","¡Felicitaciones! Tienes la habilidad  de valorar tus motivaciones en un alto nivel de dominio.  
Te sugerimos que continúes con el hábito de 
evaluar periódicamente tus motivaciones para
 que puedas abordar tus compromisos académicos sintiéndote cómodo, seguro y tranquilo. "
"52","M3","Comunico mi evaluación de motivaciones: Comparto con mis profesores la evolución de mis motivaciones respecto a la(s) asignatura(s).","C5","¡Felicitaciones! No solo te has permitido evaluar tus niveles de motivación, sino que has identificado la evolución de ellos. Identificar esta dinámica es vital en tu proceso de aprendizaje porque te garantiza tomar mejores decisiones cuando, por ejemplo, notes que tus niveles de motivación están disminuyendo y esto está afectando tu aprendizaje. Además, esto no ha parado acá, esta evolución la has compartido con tus profesores y tus compañeros y has permitido que de manera comunitaria se comprendiera el porqué de está dinámica de cambio en los niveles de motivación. Estas retroalimentaciones han incorporado aprendizajes importantes en tus comprensiones sobre tus motivaciones y te han entregado más luces para entender mejor la manera en que tu aprendizaje funciona."
"53","A1","Programo de manera eficiente las sesiones de trabajo individual: Administro todos los recursos necesarios para mis sesiones de trabajo individual concentrado (horarios de trabajo y horarios de descanso, valoración para la distribución de distintos tiempos para distintas tareas, materiales, etc.)","C5","¡Felicitaciones! Has logrado
 programar de forma eficiente tus sesiones de trabajo individual, con todos los recursos que requieres para ello. Te sugerimos que continúes con esta excelente programación. Sería valioso que cada 10 días o dos semanas evalúes tu desempeño para establecer en qué áreas podrías mejorar o qué habilidades nuevas quisieras incorporar en tu forma de programar tus sesiones de trabajo individual. "
"54","A3","Reacciono ante las distracciones: Tomo acciones de mejora para retomar mi centro de atención en el trabajo individual, cuando identifico posibles distracciones.","C5","¡Felicitaciones! Has logrado reencausar tu atención y así enfocarte en tus tareas académicas. Detrás de cada distracción, existe una necesidad; te invitamos a que revises con detalle cuáles fueron esas necesidades que emergieron en tu proceso de aprendizaje. Es fácil: cuando te distraigas, anota en un papel las razones y tus acciones al respecto; esto te será de gran ayuda para entender la necesidad y tener más información para tomar mejores decisiones.."
"55","A5","Creo planes de acción: Establezco planes de acción a corto y mediano plazo, que son pertinentes para cumplir con la mayoría de mis responsabilidades.","C5","¡Felicitaciones! Has logrado crear planes de acción
 (a corto y mediano plazo) para cumplir la mayoría 
de tus responsabilidades. Esta es una fortaleza 
muy útil que ya has desarrollado, lo que puede significar para ti una ventaja muy importante en cualquier tarea que emprendas; te invitamos a que recuerdes cuál es el camino que has seguido hasta este momento para lograr este alto nivel de creación de planes de acción. Al tener conciencia de los aprendizajes que has desarrollado en tu camino, podrás identificar más rápida y fácilmente  qué fortalezas te harán más sencilla cualquier nueva tarea. "
"56","A12","Consulto a mi cuerpo para tomar decisiones: Estudio cuando me encuentro en condiciones físicas óptimas (tengo buen estado de salud general, estoy fresco, me siento bien, etc.) y además tengo prácticas saludables de sueño y nutrición.","C5","¡Felicitaciones! Has logrado escuchar tu cuerpo y respetarlo. Tienes claro que tu cuerpo es el medio de comunicación entre tú y el mundo, y que, para garantizar la mejor de las comunicaciones, este medio tiene que estar en las mejores condiciones. Tener una buena higiene del sueño, alimentarte bien, hacer pausas activas y hacer algún tipo de ejercicio te permite aprender mejor y disfrutar mientras lo haces. Sigue así :)"
"57","A13","Programo de manera eficiente las sesiones de trabajo grupal: Administro todos los recursos necesarios para mis sesiones de trabajo grupal (horarios de trabajo y horarios de descanso, valoración para la distribución de distintos tiempos para distintas tareas, materiales, resultados, apoyo de otros, etc.).","C5","¡Felicitaciones! Has logrado
 programar de forma eficiente tus sesiones de trabajo grupal, con todos los recursos que requieres para ello. Te sugerimos que continúes con esta excelente programación. Sería valioso que cada 10 días o dos semanas evalúes tu desempeño para establecer en qué áreas podrías mejorar o qué habilidades nuevas quisieras incorporar en tu forma de programar tus sesiones de trabajo grupal. "
"58","C1","Soy un estudiante efectivo:  Me considero un estudiante efectivo, teniendo en cuenta que implemento estrategias cognitivas y sociales útiles y pertinentes para mis procesos de repaso, toma de apuntes y  argumentación en mis clases, en el marco de mis propios objetivos de aprendizaje. ","C5","¡Felicitaciones! Tienes una habilidad en la que 
has logrado desarrollar alto dominio. 
Te sugerimos que continúes con el hábito de 
evaluar periódicamente tus estrategias para
 identificar cuáles puedes seguir implementando 
y cuáles estrategias nuevas puedes incorporar."
"59","C2","Reflexiono sobre mi aprendizaje: Hago procesos de reflexión y evaluación de mis estrategias de aprendizaje (recopilando la mayor cantidad de información disponible), para establecer su nivel de efectividad; de esta forma, puedo identificar qué estrategias sigo implementando, cuáles estrategias deben ser cambiadas e identifico cuáles estrategias necesito aprender","C5","¡Felicitaciones! Tienes un alto dominio de una habilidad central para cualquier aprendizaje. Te sugerimos que seas constante con el proceso de evaluación que haces, de tal forma que termine siendo un hábito para ti. "
"60","C3","Soy consciente de cuándo un aprendizaje es fácil o difícil: Tengo criterios claros para establecer si un proceso de aprendizaje me resulta fácil o implica un nivel alto de complejidad, con lo que tomo una decisión sobre uso de estrategias cognitivas y sociales de aprendizaje","C5","¡Felicitaciones! Tienes una claridad relevante sobre cuándo un aprendizaje es fácil o difícil. Esta percepción, sin duda alguna, es subjetiva y, en este contexto, esto quiere decir que te conoces muy bien y ese autoconocimiento te permite enfrentar de la mejor manera las necesidades y obstáculos que emergen cuando se aprende."
